Nom,Acides gras saturés,Acides organiques,Acides phénoliques,Autres polyphénols,Calcium,Cuivre,Eau,Equivalent Vitamine A,Fer,Fibres,Flavonoides,Glucides,Iode,Lignanes,Lipides,Magnésium,Manganèse,Phosphore,Polyphénols totaux,Potassium,Protéines,Provitamine A Béta-carotène,Sodium,Stilbènes,Sucre,Sélénium,Vitamine B1,Vitamine B2,Vitamine B3,Vitamine B5,Vitamine B6,Vitamine B9,Vitamine C,Vitamine E,Zinc
26,0.052,0.46,0.019010000000000003,0.0,0.00534,4.1e-05,85.4,3.5699999999999997e-06,9.900000000000001e-05,1.4,0.037340000000000005,11.6,2e-07,0.0,0.25,0.00647,3.6e-05,0.014400000000000001,0.056350000000000004,0.11900000000000001,0.25,2.14e-05,0.0015,0.0,9.35,9.999999999999999e-06,1.6e-05,1.9e-05,9.1e-05,7.9e-05,4.8e-05,6e-06,0.00625,0.00037,3.1e-05
27,0.056,0.39,0.00387,0.0,0.008140000000000001,2.9000000000000004e-05,94.1,7.483e-05,0.00012,1.2,0.00029,2.26,2e-07,0.0,0.26,0.0101,6.6e-05,0.026600000000000002,0.0041600000000000005,0.256,0.86,0.00044899999999999996,0.00322,0.0,2.25,9.999999999999999e-06,3.9e-05,1.9e-05,0.0006500000000000001,0.00021,8.2e-05,2.27e-05,0.0155,0.00066,8.7e-05
28,0.025,0.0,0.010039999999999999,0.0,0.00438,7.8e-05,87.6,2.4999999999999998e-05,0.00028000000000000003,1.7,0.0157,8.9,3e-07,0.0,0.31,0.008310000000000001,6.1e-05,0.0267,0.02574,0.201,1.16,0.00015,0.00109,0.0,7.89,2.2e-06,3.4000000000000007e-05,2.7e-05,0.00113,0.00019,2.5e-05,4.9999999999999996e-06,0.0054,0.0007700000000000001,9.1e-05
29,0.027,0.0,0.02485,0.0,0.00732,7.5e-05,88.6,2.7e-05,0.00015,1.6,0.00233,9.0,3e-07,0.0,0.33,0.0112,6.4e-05,0.021,0.02718,0.215,1.08,0.00016199999999999998,0.00111,0.0,8.16,1.6e-07,2.2e-05,4.6e-05,0.0007,0.00016,2.8e-05,4.1e-06,0.0066,0.00127,0.00012
30,0.073,0.34,0.0,0.0,0.0125,0.00011,83.0,0.00010667,0.0002,1.7,0.00172,13.7,3.2e-07,0.0,0.31,0.0095,4.4999999999999996e-05,0.0148,0.00172,0.137,0.62,0.0006399999999999999,0.005,0.0,11.3,6e-07,4.2999999999999995e-05,4.8e-05,0.00063,0.00017999999999999998,0.00013000000000000002,5.6999999999999996e-05,0.032100000000000004,0.00101,8.5e-05
31,2.17,0.3,0.0,0.0,0.0112,0.00025,75.7,9.999999999999999e-06,0.00034,4.0,0.00055,3.67,9.999999999999999e-06,0.0,13.8,0.0252,0.00024,0.0444,0.00055,0.343,1.61,5.9999999999999995e-05,0.025,0.0,1.0,2.58e-06,5e-05,0.00013000000000000002,0.0012,0.0007700000000000001,0.00012,7.99e-05,0.004070000000000001,0.00177,0.00046
32,0.02,0.3,0.0,0.0,0.00128,2.8e-05,90.9,5.05e-05,0.00027,0.45,0.001,7.38,1.5e-07,0.004,0.13,0.0126,3.1e-05,0.0154,0.005,0.129,0.62,0.000303,0.00029,0.0,6.9,2.97e-06,2.7e-05,2.1000000000000002e-05,0.00017999999999999998,0.00026000000000000003,4.4999999999999996e-05,3e-06,0.0097,5e-05,1.6e-05
34,0.069,0.0,0.0,0.0,0.039,7.000000000000001e-05,79.8,1.417e-05,0.00037,2.63,0.0,14.3,1.5e-06,0.00037,0.3,0.017,0.00013000000000000002,0.0225,0.00037,0.232,0.85,8.499999999999999e-05,0.001,0.0,14.3,0.0,6e-05,5e-05,0.0004,0.0003,0.00011,7.499999999999999e-06,0.002,0.00011,0.00015
37,0.021,0.13,0.00378,0.0,0.06459999999999999,3.6e-05,95.3,0.000606,0.00098,1.2,0.00429,1.33,1.22e-06,0.0,0.2,0.0149,0.0004,0.029500000000000002,0.00807,0.2,1.3,0.00364,0.00847,0.0,0.73,2.33e-06,6.7e-05,7.7e-05,0.00035999999999999997,0.00014000000000000001,8.999999999999999e-05,4.35e-05,0.011800000000000001,0.00017999999999999998,0.0002
38,0.0,0.1,0.0,0.0,0.032,1.9e-05,95.9,6.7e-07,0.00027,1.1,0.00063,1.24,1e-06,5e-05,0.1,0.0126,4.4e-05,0.024100000000000003,0.00068,0.294,0.76,4e-06,0.0307,0.0,1.24,0.0,2.1000000000000002e-05,3.5000000000000004e-05,0.00026000000000000003,0.00017999999999999998,6.7e-05,2.18e-05,0.0275,1e-05,0.00012
39,0.047,0.08,0.0,0.0,0.0123,4.2999999999999995e-05,90.9,0.00033667,0.00016,0.93,0.0,6.57,3.2e-07,0.006690000000000001,0.2,0.0189,3.3e-05,0.023600000000000003,0.006690000000000001,0.335,0.73,0.00202,0.009000000000000001,0.0,6.43,9.999999999999999e-06,3.8e-05,2.2e-05,0.0007,0.00014000000000000001,6.800000000000001e-05,2.2999999999999996e-06,0.028800000000000003,5e-05,0.00017
40,0.067,0.0,0.011810000000000001,0.0,0.0064600000000000005,7.099999999999999e-05,83.5,2.33e-06,7.2e-05,2.9,0.0048200000000000005,10.9,4e-07,0.0,0.27,0.008230000000000001,3e-05,0.0154,0.01668,0.132,0.49,1.4e-05,0.0018000000000000002,5e-05,9.01,0.0,1.5e-05,2.1000000000000002e-05,0.00023,6e-05,2.2e-05,1.15e-05,0.00462,0.00041,9.7e-05
41,0.47,0.0,0.10350000000000001,0.0,0.405,0.0005600000000000001,65.1,0.000475,0.0175,14.0,0.0603,10.5,0.0,0.0,1.68,0.16,0.00172,0.106,0.1638,0.609,5.56,0.0028499999999999997,0.009000000000000001,0.0,0.0,0.0,4.8e-05,0.00047,0.00182,0.00041,0.00035,4.4999999999999996e-05,0.16,0.0017,0.0018100000000000002
42,0.014,0.0,0.039740000000000004,0.0,0.067,0.00023,92.2,0.000655,0.00177,2.8,0.0025,0.87,0.0,0.0,0.52,0.026000000000000002,0.00043,0.048,0.04224,0.521,2.13,0.0039299999999999995,0.046,0.0,0.87,0.0,6.7e-05,0.00029,0.00111,0.00057,0.00015,6.2e-05,0.027,0.0025,0.0005
43,0.22,0.0,0.0,0.0,0.273,7.3e-05,89.2,0.0,0.0016,2.55,0.0,3.63,2.8e-06,0.0,0.6,0.034,0.0017,0.040600000000000004,0.0,0.597,3.21,0.0,0.01,0.0,0.6,1e-07,0.00013000000000000002,0.00034,0.0015,0.0003,2.6e-05,0.00021999999999999998,0.037,0.0029,0.0011
44,4.19,0.0,0.00043,0.0,0.248,0.0009000000000000001,4.58,1.7000000000000001e-07,0.003,10.2,0.00846,7.85,5.7e-06,0.0,53.4,0.232,0.00139,0.41600000000000004,0.00889,0.668,21.1,1e-06,0.00161,0.0,4.4,2.2e-06,0.00017999999999999998,0.00091,0.0034,0.00028000000000000003,0.00011,9.309999999999999e-05,0.0005,0.0146,0.00285
45,0.22,0.0,0.0,0.2469,0.221,0.00028000000000000003,82.8,0.00012334,0.008480000000000001,7.4,0.0,5.3,0.0,0.0,0.84,0.07150000000000001,0.00115,0.0665,0.2469,0.514,3.54,0.00074,0.0305,0.0,5.3,5e-07,8e-05,0.00022,0.00133,0.00029,0.00014000000000000001,0.00010999999999999999,0.022600000000000002,0.005,0.0011
46,0.13,0.0,0.0,0.2318,0.273,0.00039000000000000005,90.8,0.00052333,0.005240000000000001,3.47,0.0,2.55,0.0,0.0,0.47,0.064,0.00115,0.056,0.2318,0.295,3.22,0.00314,0.012,0.0,0.37,0.0,3.4000000000000007e-05,7.6e-05,0.0009000000000000001,0.00021,0.00016,6.8e-05,0.0145,0.0008,0.0008100000000000001
47,0.1,0.0,0.0,0.013949999999999999,0.218,0.00012,85.5,0.0008416699999999999,0.00467,4.3,0.0,3.48,4.9999999999999996e-06,0.0,0.63,0.0395,0.0017,0.065,0.013949999999999999,0.598,3.63,0.00505,0.0543,0.0,0.95,1e-07,0.0001,0.0002,0.00151,0.00035,0.00015,0.000134,0.177,0.00173,0.0007700000000000001
48,0.043,0.0,0.0,0.0,0.14,0.0001,92.8,0.00026832999999999995,0.00214,2.7,0.0,0.5,9.999999999999999e-06,0.0,0.14,0.0544,0.00043,0.04,0.0,0.396,3.2,0.0016099999999999999,0.027600000000000003,0.0,0.47,9.999999999999999e-06,5e-05,0.0001,0.00024,5e-05,6e-05,0.000125,0.0021000000000000003,0.0024,0.0006500000000000001
49,4.46,0.0,0.0,0.0,0.116,0.0015,4.46,1.83e-06,0.0028,9.7,0.0057,6.99,5.6e-06,0.0,63.0,0.138,0.0039,0.263,0.0057,0.551,13.9,1.1e-05,0.0175,0.0,4.34,4.9999999999999996e-06,0.00038,0.00011,0.0011,0.00093,0.00034,0.000121,0.0005,0.0056500000000000005,0.0022500000000000003
50,0.027,0.0,0.0,0.0,0.101,0.00011,94.6,0.00031832999999999997,0.0009000000000000001,0.85,0.005,0.9,1.35e-05,0.00016,0.15,0.019,0.00037,0.06420000000000001,0.0051600000000000005,0.32,2.06,0.0019099999999999998,0.0505,0.0,0.2,0.0,9.5e-05,0.00011,0.0004,0.00021,0.00013000000000000002,9e-06,0.051500000000000004,0.001,0.00016
51,0.09,0.0,0.0,0.0,0.011,5e-05,90.9,7.17e-06,0.0004,2.7,0.0,3.4,1.9999999999999998e-05,0.0002,1.1,0.026000000000000002,0.007,0.026000000000000002,0.0002,0.32,1.1,4.2999999999999995e-05,0.0063,0.0,1.0,1.9999999999999998e-05,1.8e-05,1e-05,0.0001,0.00013000000000000002,0.0001,1.18e-05,0.0005,0.00075,0.00024
