Nom,Acides gras saturés,Acides organiques,Acides phénoliques,Autres polyphénols,Calcium,Cuivre,Eau,Equivalent Vitamine A,Fer,Fibres,Flavonoides,Glucides,Iode,Lignanes,Lipides,Magnésium,Manganèse,Phosphore,Polyphénols totaux,Potassium,Protéines,Provitamine A Béta-carotène,Sodium,Stilbènes,Sucre,Sélénium,Vitamine B1,Vitamine B2,Vitamine B3,Vitamine B5,Vitamine B6,Vitamine B9,Vitamine C,Vitamine E,Zinc
70,0.1,0.0,0.0,0.0,0.044,0.00013000000000000002,93.0,0.0,0.0024,1.8,0.0,1.6,4e-07,0.0,0.65,0.10300000000000001,0.00035,0.063,0.0,0.39,1.89,0.0,0.004,0.0,1.54,9e-07,4e-05,0.0001,0.0005,4.1e-05,0.00012,1.3e-05,0.048,0.0,0.0002
72,0.069,0.0,0.0,0.0,0.0429,8.2e-05,85.8,1.33e-06,0.00067,8.3,0.0,0.99,4.9999999999999996e-06,0.0,0.28,0.0446,0.00014000000000000001,0.073,0.0,0.427,2.53,8e-06,0.06,0.0,0.99,9.999999999999999e-06,5e-05,8.9e-05,0.00111,0.00024,8.1e-05,8.9e-05,0.0091,0.00019,0.00029
73,0.01,0.0,0.0,0.0,0.11800000000000001,1.9e-05,87.3,9.999999999999999e-06,0.00025,4.45,0.0,6.0,1.5e-06,0.0,0.31,0.077,0.00058,0.0175,0.0,0.17500000000000002,0.51,5.9999999999999995e-05,0.0045000000000000005,0.0,1.02,0.0,1.1e-05,4.6e-05,0.00038,0.0,7.9e-05,8e-06,0.0125,1e-05,0.00014000000000000001
75,0.043,0.0,0.0,0.0,0.0259,6.1e-05,88.6,8.33e-06,0.00024,3.7,0.00259,4.3,0.0,2e-05,0.2,0.011300000000000001,8.999999999999999e-05,0.076,0.00261,0.343,1.5,4.9999999999999996e-05,0.08170000000000001,0.0,3.6,0.0,0.0,5e-05,0.00091,0.00064,0.00017,8.64e-05,0.002,0.0001,0.00017999999999999998
76,0.011,0.0,0.0,0.0,0.04,6.3e-05,91.9,0.0,0.0004,1.9,0.0,4.7,5e-07,0.00015,0.1,0.0095,0.0001,0.0385,0.00015,0.23700000000000002,0.82,0.0,0.042,0.0,3.8,1.2499999999999999e-06,4e-05,3.8e-05,0.0007,0.0002,8.5e-05,1.75e-05,0.0185,3e-05,0.00025
79,0.027,0.0,0.0,0.0,0.039,6e-05,87.7,1.5e-06,0.00185,1.7,0.0,8.1,4e-07,0.0,0.39,0.018000000000000002,0.0011,0.038,0.0,0.194,1.44,9e-06,0.01,0.0,8.1,0.0,2.9000000000000004e-05,0.0001,0.00062,0.00026000000000000003,5e-05,6e-06,0.0364,0.00087,0.00012
80,0.07,0.0,0.0,0.0,0.032299999999999995,6.2e-05,85.0,7.5e-05,0.00115,3.95,0.0,5.67,2.5e-07,0.0,0.4,0.0235,0.0003,0.07640000000000001,0.0,0.436,3.98,0.00045,0.0165,0.0,2.2,1.1e-06,0.00013000000000000002,0.00013000000000000002,0.0007700000000000001,0.0005200000000000001,0.00025,9.549999999999999e-05,0.10300000000000001,0.0008900000000000001,0.00043
81,0.21,0.0,0.0,0.0,0.03270000000000001,0.00014000000000000001,82.9,6.9e-05,0.00117,5.8,0.0,4.7,4.9999999999999996e-06,0.0,0.87,0.0319,0.00032,0.096,0.0,0.135,5.8,0.000414,0.0070999999999999995,0.0,1.8,9.999999999999999e-06,0.00013000000000000002,5e-05,0.0004,5e-05,5e-05,6.56e-05,0.0018000000000000002,0.0001,0.0008
82,0.0,0.0,0.0,0.0,0.0329,0.0001,80.2,8.33e-06,0.0002,2.2,0.0,16.0,9.999999999999999e-06,0.0,0.7,0.0141,0.0001,0.064,0.0,0.452,1.8,4.9999999999999996e-05,0.0359,0.0,9.6,0.0,5e-05,3e-05,5e-05,0.00038,4e-05,4.429999999999999e-05,0.0032,0.00019,0.00034
83,0.042,0.0,0.0,0.0,0.0325,0.00013000000000000002,78.0,0.0017499999999999998,0.00071,2.9,0.0,12.2,3e-06,0.0,0.15,0.0225,0.00038,0.043000000000000003,0.0,0.353,1.69,0.010499999999999999,0.0315,0.0,6.11,0.0,8.2e-05,7.7e-05,0.00101,0.00073,0.00023,6e-06,0.0162,0.0,0.00026000000000000003
84,0.23,0.0,0.001,0.0,0.037,8.8e-05,79.4,5e-07,0.0012,2.5,0.12222,8.35,2e-06,0.0,1.43,0.021,0.00029,0.06,0.12322,0.334,1.84,3e-06,0.011,0.0,3.63,0.0,6e-05,2e-05,0.0002,0.00029,0.00035,3.4e-05,0.008,4e-05,0.0004
85,0.024,0.0,0.0,0.0,0.0289,7.7e-05,90.4,8.33e-06,0.00021,1.4,0.0,6.2,1e-06,0.0,0.2,0.013000000000000001,0.00012,0.044,0.0,0.22,1.3,4.9999999999999996e-05,0.008400000000000001,0.0,4.0,9.999999999999999e-06,5e-05,5e-05,5e-05,0.00013000000000000002,8.999999999999999e-05,2.1e-05,0.0021000000000000003,1.5e-05,0.00019
87,0.054,0.0,0.02,0.0,0.032600000000000004,4.1e-05,89.6,0.00138167,0.00031,2.7,0.0,6.45,4.9999999999999996e-06,0.0,0.26,0.011300000000000001,0.00025,0.03270000000000001,0.02,0.301,0.77,0.008289999999999999,0.039,0.0,5.42,1.7000000000000001e-07,5.4e-05,4.7000000000000004e-05,0.00099,0.00028000000000000003,0.00013000000000000002,3.23e-05,0.00584,0.00061,0.00022
88,0.036,0.0,0.0,0.0,0.013000000000000001,4e-05,92.0,0.00100333,0.00017999999999999998,2.0,0.0,4.5,0.0,0.0,0.07,0.006900000000000001,4e-05,0.021,0.0,0.23,0.81,0.006019999999999999,0.0,0.0,3.1,0.0,2e-05,0.0,0.00022,0.00014000000000000001,5.800000000000001e-05,0.0,0.00084,0.00024,0.0001
89,0.027,0.0,0.0,0.0,0.00634,0.00012,92.0,1.567e-05,0.00034,3.2,0.0,3.0,9.999999999999999e-06,0.0,0.2,0.00845,7.5e-05,0.02,0.0,0.151,1.1,9.4e-05,0.0058,0.0,2.11,9.999999999999999e-06,5e-05,5e-05,5e-05,5e-05,6e-05,2.1199999999999997e-05,0.0013000000000000002,0.0005,0.0001
